nome_municipio,nome_profissao,total_trabalhadores,salario_medio
Cerquilho,Trabalhador Da Cultura De Cana-De-Açúcar,247,1739.36
Araçariguama,Motorista De Caminhão (Rotas Regionais E Internacionais),246,2767.34
Itu,Guarda-Civil Municipal,246,4028.68
Boituva,"Operador De Máquinas Fixas, Em Geral",245,2320.61
Itupeva,Auxiliar De Logistica,244,1923.44
Americana,Operador De Empilhadeira,244,2507.75
Americana,Apontador De Produção,243,3112.71
Itupeva,Operador De Máquinas Operatrizes,243,2848.4
Porto Feliz,Trabalhador De Serviços De Limpeza E Conservação De Áreas Públicas,243,1987.92
Itupeva,Supervisor Administrativo,243,5838.53
Itapeva,Pedreiro,243,1910.67
Americana,Auxiliar De Desenvolvimento Infantil,243,2445.8
Americana,Lavador De Veículos,240,1497.64
Americana,Recepcionista De Consultório Médico Ou Dentário,239,1663.09
Cabreúva,Professor Da  Educação De Jovens E Adultos Do Ensino Fundamental (Primeira A Quarta Série),238,4974.88
Americana,Auxiliar De Logistica,237,1787.49
Cabreúva,Oleiro (Fabricação De Tijolos),237,1528.42
Itupeva,Auxiliar Nos Serviços De Alimentação,237,1573.95
Itupeva,Operador De Inspeção De Qualidade,237,2445.68
Pindamonhangaba,Supervisor Administrativo,236,4387.51
Itapetininga,Trabalhador No Cultivo De Árvores Frutíferas,236,1693.16
Ibiúna,Faxineiro,235,1481.18
Araçatuba,Agente Comunitário De Saúde,234,1960.64
Itu,Motorista De Furgão Ou Veículo Similar,234,2333.31
Pindamonhangaba,Cozinheiro Geral,234,1547.95
Americana,"Operador De Máquinas Fixas, Em Geral",233,2376.81
Itupeva,Ajudante De Motorista,233,1606.26
Itupeva,Cozinheiro Geral,232,2260.86
Itu,Operador De Linha De Montagem (Aparelhos Elétricos),232,2664.37
Cerquilho,Operador De Caixa,230,1733.53
Boituva,Atendente De Lojas E Mercados,229,1492.89
Araçatuba,Atendente De Farmácia - Balconista,229,1851.02
Araçatuba,Vigilante,228,2507.94
Itu,Trabalhador Da Manutenção De Edificações,227,1961.12
Itupeva,"Montador De Máquinas, Motores E Acessórios (Montagem Em Série)",227,3990.05
Itu,"Mecânico De Manutenção De Automóveis, Motocicletas E Veículos Similares",226,2562.01
Boituva,Porteiro De Edifícios,225,1998.51
Americana,Gerente De Vendas,225,7132.64
Americana,Motorista De Carro De Passeio,224,2489.13
Itapeva,"Trabalhador De Extração Florestal, Em Geral",223,1392.09
Boituva,Promotor De Vendas,223,1664.9
Cerquilho,Tecelão De Meias (Máquina Circular),223,1556.37
Itu,Técnico De Planejamento De Produção,221,5152.94
Itapetininga,Almoxarife,220,1939.34
Araçoiaba da Serra,Assistente Administrativo,220,2541.41
Itu,Motorista De Carro De Passeio,220,2412.3
Araçatuba,Auxiliar De Pessoal,219,1671.3
Araçatuba,Gerente Comercial,219,4493.58
Itapetininga,Trabalhador Volante Da Agricultura,218,1535.85
Itu,Técnico De Garantia Da Qualidade,217,4697.74
Araçoiaba da Serra,Trabalhador Agropecuário Em Geral,217,1454.85
Itu,"Trefilador De Metais, À Máquina",216,3837.72
Americana,Supervisor De Vendas Comercial,216,3962.88
Cabreúva,"Montador De Máquinas, Motores E Acessórios (Montagem Em Série)",215,2358.29
Itu,Garçom,215,1786.72
Araçatuba,Farmacêutico,214,3775.1
Americana,Garçom,213,1749
Pindamonhangaba,Técnico De Manutenção Elétrica,212,8104.37
Itupeva,Atendente De Lanchonete,212,1436.97
Piedade,Trabalhador Volante Da Agricultura,212,1388.25
Porto Feliz,Trabalhador Da Avicultura De Postura,211,1680.77
Itu,Moldador De Borracha Por Compressão,210,2473.02
Americana,Eletricista De Instalações,210,2539.86
Boituva,Repositor De Mercadorias,210,1498.64
Ibiúna,Vigia,209,2210.51
